,timestamp,open,high,low,close,volume,price,balance,position,position_value,total_balance,signal,position_change,market_type,leverage
0,2024-01-01T00:15:00,42488.0,42554.57,42412.02,42419.73,392.24889,42419.73,10000.0,0.0,0.0,10000.0,0.0,0.0,futures,3
1,2024-01-01T00:30:00,42419.73,42447.82,42354.19,42441.32,319.90644,42441.32,10000.0,0.0,0.0,10000.0,0.0,0.0,futures,3
2,2024-01-01T00:45:00,42441.32,42490.74,42422.45,42475.23,127.81493,42475.23,10000.0,0.0,0.0,10000.0,0.0,0.0,futures,3
3,2024-01-01T01:00:00,42475.23,42475.23,42431.65,42466.33,188.76099,42466.33,10000.0,0.0,0.0,10000.0,0.0,0.0,futures,3
4,2024-01-01T01:15:00,42466.32,42513.17,42466.32,42493.16,152.48691,42493.16,10000.0,0.0,0.0,10000.0,0.0,0.0,futures,3
5,2024-01-01T01:30:00,42493.16,42775.0,42493.16,42697.5,642.57307,42697.5,0.0,0.2335031325019029,9970.0,9970.0,1.0,1.0,futures,3
6,2024-01-01T01:45:00,42697.5,42720.0,42613.56,42613.56,212.55759,42613.56,9940.44934731073,0.0,0.0,9940.44934731073,0.0,-1.0,futures,3
7,2024-01-01T02:00:00,42613.57,42638.41,42541.1,42556.63,217.29821,42556.63,9940.44934731073,0.0,0.0,9940.44934731073,0.0,0.0,futures,3
8,2024-01-01T02:15:00,42556.64,42571.68,42531.1,42546.01,139.29978,42546.01,9940.44934731073,0.0,0.0,9940.44934731073,0.0,0.0,futures,3
9,2024-01-01T02:30:00,42546.0,42606.25,42533.0,42535.75,193.14053,42535.75,9940.44934731073,0.0,0.0,9940.44934731073,0.0,0.0,futures,3
10,2024-01-01T02:45:00,42535.74,42590.0,42500.0,42581.1,135.48128,42581.1,9940.44934731073,0.0,0.0,9940.44934731073,0.0,0.0,futures,3
11,2024-01-01T03:00:00,42581.09,42586.64,42501.67,42508.24,169.14866,42508.24,9940.44934731073,0.0,0.0,9940.44934731073,0.0,0.0,futures,3
12,2024-01-01T03:15:00,42508.24,42508.24,42419.39,42429.47,175.84382,42429.47,9940.44934731073,0.0,0.0,9940.44934731073,-1.0,-1.0,futures,3
13,2024-01-01T03:30:00,42429.47,42459.02,42230.08,42302.19,199.04695,42302.19,0.0,0.23428167665240965,9910.627999268798,9910.627999268798,0.0,1.0,futures,3
14,2024-01-01T03:45:00,42302.19,42358.84,42243.99,42330.49,250.76448,42330.49,0.0,0.23428167665240965,9917.25817071806,9917.25817071806,0.0,0.0,futures,3
15,2024-01-01T04:00:00,42330.5,42377.43,42273.26,42287.5,157.71914,42287.5,0.0,0.23428167665240965,9907.186401438774,9907.186401438774,0.0,0.0,futures,3
16,2024-01-01T04:15:00,42287.5,42315.0,42209.46,42307.39,261.25449,42307.39,0.0,0.23428167665240965,9911.846263987389,9911.846263987389,0.0,0.0,futures,3
17,2024-01-01T04:30:00,42307.4,42345.08,42283.86,42310.98,153.21792,42310.98,0.0,0.23428167665240965,9912.687335206572,9912.687335206572,0.0,0.0,futures,3
18,2024-01-01T04:45:00,42310.99,42399.99,42304.0,42399.99,143.22605,42399.99,0.0,0.23428167665240965,9933.540747245403,9933.540747245403,0.0,0.0,futures,3
19,2024-01-01T05:00:00,42399.98,42406.0,42315.0,42352.0,189.17581,42352.0,0.0,0.23428167665240965,9922.297569582854,9922.297569582854,0.0,0.0,futures,3
20,2024-01-01T05:15:00,42352.0,42361.1,42297.9,42297.91,182.56287,42297.91,0.0,0.23428167665240965,9909.625273692725,9909.625273692725,0.0,0.0,futures,3
21,2024-01-01T05:30:00,42297.91,42321.13,42278.0,42300.02,171.82087,42300.02,0.0,0.23428167665240965,9910.11960803046,9910.11960803046,0.0,0.0,futures,3
22,2024-01-01T05:45:00,42300.01,42300.02,42180.77,42234.01,192.97197,42234.01,0.0,0.23428167665240965,9894.654674554637,9894.654674554637,0.0,0.0,futures,3
23,2024-01-01T06:00:00,42234.01,42301.98,42208.68,42276.01,191.20854,42276.01,0.0,0.23428167665240965,9904.494504974038,9904.494504974038,0.0,0.0,futures,3
24,2024-01-01T06:15:00,42276.0,42344.76,42270.22,42321.1,117.6485,42321.1,0.0,0.23428167665240965,9915.058265774294,9915.058265774294,0.0,0.0,futures,3
25,2024-01-01T06:30:00,42321.1,42385.57,42309.15,42377.62,156.48093,42377.62,0.0,0.23428167665240965,9928.299866138688,9928.299866138688,0.0,0.0,futures,3
26,2024-01-01T06:45:00,42377.61,42424.82,42372.52,42396.69,136.03453,42396.69,0.0,0.23428167665240965,9932.76761771245,9932.76761771245,1.0,1.0,futures,3
